agent_id_no,agent_phone_no,agent_name,gender,dob,poll_station_code,poll_station_name,total_registered_voters
22438886,0723608054,agent 00001,m,,1.001E+12,bomu_primary_school_stream_01,673
46880566,0723777382,agent 00002,f,,1.001E+12,bomu_primary_school_stream_02,673
87450072,0725390841,agent 00003,m,,1.001E+12,bomu_primary_school_stream_03,673
78819034,0716590295,agent 00004,m,,1.001E+12,bomu_primary_school_stream_04,672
96449702,0715918007,agent 00005,m,,1.001E+12,bomu_primary_school_stream_05,672
26399746,0722809449,agent 00006,f,,1.001E+12,bomu_primary_school_stream_06,672
82016751,0713124912,agent 00007,f,,1.001E+12,bomu_primary_school_stream_07,672
96059855,0730237571,agent 00008,f,,1.001E+12,bomu_primary_school_stream_08,672
15331451,0726199981,agent 00009,f,,1.001E+12,bomu_primary_school_stream_09,672
83633575,0712682062,agent 00010,m,,1.001E+12,bomu_primary_school_stream_10,672
49473600,0713078392,agent 00011,f,,1.001E+12,bomu_primary_school_stream_11,672
82868884,0717137965,agent 00012,m,,1.001E+12,bomu_primary_school_stream_12,672
57149319,0721007098,agent 00013,m,,1.001E+12,bomu_primary_school_stream_13,672
84449676,0712966412,agent 00014,m,,1.001E+12,bomu_primary_school_stream_14,672
76064057,0729514616,agent 00015,f,,1.001E+12,mwijabu_primary_school_stream_01,620
10703460,0712682062,agent 00016,f,,1.001E+12,mwijabu_primary_school_stream_02,620
98729742,0713926458,agent 00017,f,,1.001E+12,mwijabu_primary_school_stream_03,620
31837962,0723616828,agent 00018,f,,1.001E+12,mwijabu_primary_school_stream_04,620
79992758,0722693760,agent 00019,m,,1.001E+12,mwijabu_primary_school_stream_05,619
89058748,0720654939,agent 00020,f,,1.001E+12,mwijabu_primary_school_stream_06,619
92845042,0710533746,agent 00021,m,,1.001E+12,mwijabu_primary_school_stream_07,619
75136414,0718683675,agent 00022,m,,1.001E+12,lilongwe_garden_stream_01,617
39557613,0726552665,agent 00023,m,,1.001E+12,lilongwe_garden_stream_02,617
68364937,0715289596,agent 00024,f,,1.001E+12,lilongwe_garden_stream_03,617
33285140,0717600200,agent 00025,f,,1.001E+12,lilongwe_garden_stream_04,617
77109395,0729546531,agent 00026,f,,1.001E+12,lilongwe_garden_stream_05,617
50013548,0728218607,agent 00027,f,,1.001E+12,bomu_stadium_stream_01,628
30982280,0721320800,agent 00028,m,,1.001E+12,bomu_secondary_school_stream_01,283
61175575,0723265706,agent 00029,f,,1.001E+12,full_gospel_church_ground_stream_01,73
64161670,0729318748,agent 00030,m,,1.001E+12,umoja_primary_school_stream_01,672
39724906,0721567989,agent 00031,m,,1.001E+12,umoja_primary_school_stream_02,672
79859582,0714968675,agent 00032,m,,1.001E+12,umoja_primary_school_stream_03,672
83482081,0711682239,agent 00033,f,,1.001E+12,umoja_primary_school_stream_04,672
60148269,0729252643,agent 00034,f,,1.001E+12,umoja_primary_school_stream_05,672
94824269,0718388876,agent 00035,f,,1.001E+12,kisumu_ndogo_ground_stream_01,684
40199501,0712375353,agent 00036,f,,1.001E+12,kisumu_ndogo_ground_stream_02,684
80205729,0723432135,agent 00037,m,,1.001E+12,kisumu_ndogo_ground_stream_03,684
71074128,0711022655,agent 00038,f,,1.001E+12,kisumu_ndogo_ground_stream_04,684
60713248,0720008345,agent 00039,m,,1.001E+12,kisumu_ndogo_ground_stream_05,683
43845041,0710459662,agent 00040,m,,1.001E+12,kwa_hola_primary_school_stream_01,618
45995480,0728650704,agent 00041,m,,1.001E+12,kwa_hola_primary_school_stream_02,618
22384689,0722242212,agent 00042,f,,1.001E+12,kwa_hola_primary_school_stream_03,618
69239446,0715648480,agent 00043,f,,1.001E+12,kwa_hola_primary_school_stream_04,618
77732563,0716535177,agent 00044,f,,1.001E+12,kwa_hola_primary_school_stream_05,618
66906511,0728679942,agent 00045,f,,1.001E+12,cape_town_ground_stream_01,642
68353507,0730156765,agent 00046,m,,1.001E+12,cape_town_ground_stream_02,642
47539007,0718356726,agent 00047,f,,1.001E+12,cape_town_ground_stream_03,641
88173068,0720414279,agent 00048,m,,1.001E+12,cape_town_ground_stream_04,641
94812850,0729251553,agent 00049,m,,1.001E+12,cape_town_ground_stream_05,641
53853575,0726249603,agent 00050,m,,1.001E+12,cape_town_ground_stream_06,641
63928923,0718164878,agent 00051,f,,1.001E+12,cape_town_ground_stream_07,641
49295983,0717399788,agent 00052,f,,1.001E+12,kaloleni_ground_stream_01,478
70653690,0710644966,agent 00053,f,,1.001E+12,kaloleni_ground_stream_02,478
99459545,0722178571,agent 00054,f,,1.001E+12,kaloleni_ground_stream_03,478
33770032,0716678726,agent 00055,m,,1.001E+12,akamba_handcraft_coop_society_stream_01,340
50782490,0710646694,agent 00056,f,,1.001E+12,bokole_nursery_school_stream_01,621
15011924,0712769942,agent 00057,m,,1.001E+12,bokole_nursery_school_stream_02,621
35169489,0719963328,agent 00058,m,,1.001E+12,bokole_nursery_school_stream_03,621
28743208,0727485792,agent 00059,m,,1.001E+12,bokole_nursery_school_stream_04,621
25177345,0710127754,agent 00060,f,,1.001E+12,bokole_nursery_school_stream_05,621
60175464,0719852261,agent 00061,f,,1.001E+12,bokole_nursery_school_stream_06,621
12633110,0714792630,agent 00062,f,,1.001E+12,baraka_village_stream_01,693
54472310,0715964160,agent 00063,f,,1.001E+12,baraka_village_stream_02,693
33660319,0719947780,agent 00064,m,,1.001E+12,baraka_village_stream_03,693
99389660,0729022964,agent 00065,f,,1.001E+12,baraka_village_stream_04,693
34747543,0730776699,agent 00066,m,,1.001E+12,baraka_village_stream_05,692
29867200,0712165297,agent 00067,m,,1.001E+12,baraka_village_stream_06,692
70094322,0728047120,agent 00068,m,,1.001E+12,al_irshadi_nursery_school_stream_01,651
87764510,0711098953,agent 00069,f,,1.001E+12,al_irshadi_nursery_school_stream_02,651
55356493,0711451742,agent 00070,f,,1.001E+12,al_irshadi_nursery_school_stream_03,651
42876558,0717062236,agent 00071,f,,1.001E+12,al_irshadi_nursery_school_stream_04,650
76264305,0713216297,agent 00072,f,,1.001E+12,al_irshadi_nursery_school_stream_05,650
45120133,0721150563,agent 00073,m,,1.001E+12,al_irshadi_nursery_school_stream_06,650
17176771,0730250308,agent 00074,f,,1.001E+12,al_irshadi_nursery_school_stream_07,650
23841123,0710603061,agent 00075,m,,1.001E+12,al_irshadi_nursery_school_stream_08,650
38898991,0712658791,agent 00076,m,,1.001E+12,mwidani_social_hall_stream_01,611
68094995,0730915266,agent 00077,m,,1.001E+12,mwidani_social_hall_stream_02,611
78180668,0721505763,agent 00078,f,,1.001E+12,mwidani_social_hall_stream_03,611
90613212,0712820090,agent 00079,f,,1.001E+12,mwidani_social_hall_stream_04,611
78366874,0717609444,agent 00080,f,,1.001E+12,mwidani_social_hall_stream_05,611
56091080,0713630523,agent 00081,f,,1.001E+12,mwidani_social_hall_stream_06,611
62791159,0727636882,agent 00082,m,,1.001E+12,mwidani_social_hall_stream_07,610
30676635,0714166046,agent 00083,f,,1.001E+12,portreitz_nursery_school_stream_01,598
71743637,0722152693,agent 00084,m,,1.001E+12,portreitz_nursery_school_stream_02,598
31054982,0723381986,agent 00085,m,,1.001E+12,changamwe_social_hall_stream_01,687
82552837,0726794019,agent 00086,m,,1.001E+12,changamwe_social_hall_stream_02,687
97384328,0729849492,agent 00087,f,,1.001E+12,changamwe_social_hall_stream_03,687
29886271,0726607210,agent 00088,f,,1.001E+12,changamwe_social_hall_stream_04,687
20725374,0721448129,agent 00089,f,,1.001E+12,changamwe_social_hall_stream_05,687
69639051,0728283021,agent 00090,f,,1.001E+12,changamwe_social_hall_stream_06,687
70390801,0711673515,agent 00091,m,,1.001E+12,changamwe_social_hall_stream_07,687
86763191,0714124092,agent 00092,f,,1.001E+12,changamwe_social_hall_stream_08,687
50749226,0718453249,agent 00093,m,,1.001E+12,changamwe_social_hall_stream_09,687
50523656,0714720734,agent 00094,m,,1.001E+12,changamwe_primary_school_stream_01,675
13399125,0727231196,agent 00095,m,,1.001E+12,changamwe_primary_school_stream_02,675
96002057,0715255056,agent 00096,f,,1.001E+12,st_lwanga_primary_school_stream_01,642
10855188,0730690782,agent 00097,f,,1.001E+12,st_lwanga_primary_school_stream_02,642
48569165,0712844999,agent 00098,f,,1.001E+12,st_lwanga_primary_school_stream_03,641
17590220,0720235777,agent 00099,f,,1.001E+12,st_lwanga_primary_school_stream_04,641
91076738,0722645580,agent 00100,m,,1.001E+12,changamwe_secondary_school_stream_01,515
34468308,0725651085,agent 00101,f,,1.001E+12,changamwe_secondary_school_stream_02,514
14417921,0710446932,agent 00102,m,,1.001E+12,gome_primary_school_stream_01,605
46937180,0722438631,agent 00103,m,,1.001E+12,gome_primary_school_stream_02,604
20573748,0716049136,agent 00104,m,,1.001E+12,gome_primary_school_stream_03,604
73483354,0725146984,agent 00105,f,,1.001E+12,magongo_primary_school_stream_01,532
33420802,0715565167,agent 00106,f,,1.001E+12,magongo_primary_school_stream_02,531
18794421,0730429398,agent 00107,f,,1.001E+12,magongo_primary_school_stream_03,531
15088698,0723556289,agent 00108,f,,1.001E+12,magongo_primary_school_stream_04,531
10195828,0719740879,agent 00109,m,,1.001E+12,baptist_church_primary_school_stream_01,583
85749424,0725820912,agent 00110,f,,1.001E+12,baptist_church_primary_school_stream_02,583
57562202,0719283628,agent 00111,m,,1.001E+12,baptist_church_primary_school_stream_03,583
33066016,0728270212,agent 00112,m,,1.001E+12,baptist_church_primary_school_stream_04,583
32040965,0728287740,agent 00113,m,,1.001E+12,bishop_mkala_academy_stream_01,172
75756633,0720866439,agent 00114,f,,1.001E+12,kimbilio_academy_stream_01,556
29023822,0719318745,agent 00115,f,,1.001E+12,aic_church_hall_stream_01,56
86061766,0730460376,agent 00116,f,,1.001E+12,chaani_social_hall_stream_01,666
25290318,0724300121,agent 00117,f,,1.001E+12,chaani_social_hall_stream_02,666
14047043,0723885941,agent 00118,m,,1.001E+12,chaani_social_hall_stream_03,666
47175025,0712264712,agent 00119,f,,1.001E+12,chaani_social_hall_stream_04,666
61140808,0721770976,agent 00120,m,,1.001E+12,chaani_social_hall_stream_05,666
73520399,0726910518,agent 00121,m,,1.001E+12,chaani_social_hall_stream_06,666
93880187,0720574986,agent 00122,m,,1.001E+12,chaani_social_hall_stream_07,666
49257599,0715791568,agent 00123,f,,1.001E+12,chaani_social_hall_stream_08,666
33478502,0728463021,agent 00124,f,,1.001E+12,chaani_social_hall_stream_09,666
60268158,0713781835,agent 00125,f,,1.001E+12,chaani_social_hall_stream_10,665
54678611,0720202870,agent 00126,f,,1.001E+12,chaani_social_hall_stream_11,665
98860488,0716162925,agent 00127,m,,1.001E+12,chaani_social_hall_stream_12,665
35661510,0728070190,agent 00128,f,,1.001E+12,chaani_social_hall_stream_13,665
11734063,0711770236,agent 00129,m,,1.001E+12,kipevu_primary_school_stream_01,685
21452984,0727193925,agent 00130,m,,1.001E+12,kipevu_primary_school_stream_02,685
42210850,0726370432,agent 00131,m,,1.001E+12,kipevu_primary_school_stream_03,685
40224110,0719228133,agent 00132,f,,1.001E+12,kipevu_primary_school_stream_04,685
82328656,0721427598,agent 00133,f,,1.001E+12,kipevu_primary_school_stream_05,684
10259110,0722812575,agent 00134,f,,1.001E+12,mikadini_primary_school_stream_01,606
20960267,0720890604,agent 00135,f,,1.001E+12,mikadini_primary_school_stream_02,606
63263009,0722905577,agent 00136,m,,1.001E+12,mikadini_primary_school_stream_03,606
49591765,0716557303,agent 00137,f,,1.001E+12,mikadini_primary_school_stream_04,606
66074660,0723281322,agent 00138,m,,1.001E+12,mikadini_primary_school_stream_05,606
38839444,0717451230,agent 00139,m,,1.001E+12,mikadini_primary_school_stream_06,606
52469659,0714058445,agent 00140,m,,1.001E+12,mikadini_primary_school_stream_07,605
62604005,0715582328,agent 00141,f,,1.001E+12,chaani_primary_school_stream_01,640
93212003,0713037315,agent 00142,f,,1.001E+12,chaani_primary_school_stream_02,639
77307538,0710375878,agent 00143,f,,1.001E+12,chaani_primary_school_stream_03,639
80914757,0724596766,agent 00144,f,,1.001E+12,chaani_primary_school_stream_04,639
89110658,0725781591,agent 00145,m,,1.001E+12,chaani_primary_school_stream_05,639
93857212,0715780442,agent 00146,f,,1.001E+12,chaani_primary_school_stream_06,639
32550634,0719541850,agent 00147,m,,1.001E+12,chaani_primary_school_stream_07,639
30928024,0730026734,agent 00148,m,,1.001E+12,chaani_primary_school_stream_08,639
64764651,0716565679,agent 00149,m,,1.001E+12,chaani_primary_school_stream_09,639
63285228,0715869423,agent 00150,f,,1.001E+12,chaani_secondary_school_stream_01,113
57705081,0717046391,agent 00151,f,,1.001E+12,chaani_chiefs_office_stream_01,558
76461084,0716344065,agent 00152,f,,1.001E+12,kasarani_grounds_stream_01,131
64456220,0726207757,agent 00153,f,,1.002E+12,miritini_world_bank_primary_scho_stream_01,634
27985343,0722494543,agent 00154,m,,1.002E+12,miritini_world_bank_primary_scho_stream_02,634
91387489,0723557056,agent 00155,f,,1.002E+12,miritini_world_bank_primary_scho_stream_03,633
19334824,0730217007,agent 00156,m,,1.002E+12,miritini_world_bank_primary_scho_stream_04,633
36208578,0722710235,agent 00157,m,,1.002E+12,miritini_world_bank_primary_scho_stream_05,633
50834791,0715561880,agent 00158,m,,1.002E+12,miritini_world_bank_primary_scho_stream_06,633
68464734,0727107819,agent 00159,f,,1.002E+12,miritini_world_bank_primary_scho_stream_07,633
11198435,0719820081,agent 00160,f,,1.002E+12,miritini_world_bank_primary_scho_stream_08,633
30233436,0717046697,agent 00161,f,,1.002E+12,jomvu_kuu_primary_school_stream_01,634
47936585,0720825887,agent 00162,f,,1.002E+12,jomvu_kuu_primary_school_stream_02,634
44228613,0721012816,agent 00163,m,,1.002E+12,jomvu_kuu_primary_school_stream_03,633
10939385,0720040587,agent 00164,f,,1.002E+12,jomvu_kuu_primary_school_stream_04,633
71949839,0718174727,agent 00165,m,,1.002E+12,jomvu_kuu_primary_school_stream_05,633
32540457,0715541974,agent 00166,m,,1.002E+12,jomvu_kuu_primary_school_stream_06,633
59262815,0719221706,agent 00167,m,,1.002E+12,jomvu_kuu_primary_school_stream_07,633
99187453,0710675322,agent 00168,f,,1.002E+12,jomvu_kuu_primary_school_stream_08,633
34617429,0718096252,agent 00169,f,,1.002E+12,jomvu_kuu_primary_school_stream_09,633
14014632,0722319900,agent 00170,f,,1.002E+12,taratibu_social_hall_stream_01,471
80647533,0722846363,agent 00171,f,,1.002E+12,taratibu_social_hall_stream_02,470
71868562,0728996811,agent 00172,m,,1.002E+12,mirironi_primary_school_stream_01,468
91765859,0723385552,agent 00173,f,,1.002E+12,jomvu_narcol_nursery_school_stream_01,538
25724310,0712169829,agent 00174,m,,1.002E+12,jomvu_narcol_nursery_school_stream_02,538
11900728,0725251293,agent 00175,m,,1.002E+12,jomvu_narcol_nursery_school_stream_03,538
23223563,0711308046,agent 00176,m,,1.002E+12,swaleh_khalid_social_hall_stream_01,682
42661205,0712562538,agent 00177,f,,1.002E+12,swaleh_khalid_social_hall_stream_02,682
36762372,0720885402,agent 00178,f,,1.002E+12,swaleh_khalid_social_hall_stream_03,681
63944713,0724202549,agent 00179,f,,1.002E+12,nuru_community_based_rehabilita_stream_01,673
81926137,0722176926,agent 00180,f,,1.002E+12,nuru_community_based_rehabilita_stream_02,673
53946649,0725848146,agent 00181,m,,1.002E+12,nuru_community_based_rehabilita_stream_03,673
18137686,0714744975,agent 00182,f,,1.002E+12,nuru_community_based_rehabilita_stream_04,673
39320607,0727861227,agent 00183,m,,1.002E+12,nuru_community_based_rehabilita_stream_05,672
66568323,0723082846,agent 00184,m,,1.002E+12,badi_twalib_primary_school_stream_01,251
